item_code,variant,variant_desctiption,variant_order,vendor,stock_quantity
065408613823M,0,TU,1,011,1
068523895910A,0,TU,1,011,1
06851783339M,0,TU,1,011,1
00979831469M,0,TU,1,011,0
06864446383A,0,TU,1,011,1
06860458006M,0,TU,1,011,0
068427607323M,0,TU,1,011,0
06757341384A,0,TU,1,011,0
068306380518M,0,TU,1,011,0
06758124296M,0,TU,1,011,1
068409686410A,0,TU,1,011,4
06852408644A,0,TU,1,011,0
06847681723M,0,TU,1,011,0
06859985188A,0,TU,1,011,1
06859076326A,0,TU,1,011,1
06846983176A,0,TU,1,011,0
06850454228A,0,TU,1,011,2
06851451153A,0,TU,1,011,1
068288615023M,0,TU,1,011,0
06840981385A,0,TU,1,011,0
06853254423A,0,TU,1,011,1
06858033153A,0,TU,1,011,1
06843188009M,0,TU,1,011,1
065051142212A,0,TU,1,011,0
06758958644A,0,TU,1,011,0
065056510029,0,TU,1,011,1
009894162014A,0,TU,1,011,1
06847344296A,0,TU,1,011,0
068347313814A,0,TU,1,011,0
06851688009M,0,TU,1,011,0
06852468664A,0,TU,1,011,0
06860492749M,0,TU,1,011,1
06843248026A,0,TU,1,011,0
06843327595A,0,TU,1,011,2
068474111512A,0,TU,1,011,2
06856399166A,0,TU,1,011,0
06860538333M,0,TU,1,011,1
06869314084A,0,TU,1,011,2
068517833323M,0,TU,1,011,0
06612531726M,0,TU,1,011,1
06753749267A,0,TU,1,011,1
0439819-54,42,42,5,012,0
7953538-15,38,38,3,012,2
1453616-13,5,XL,5,012,0
6833914-94,40,40,4,012,0
1553703-11,4,L,4,012,1
1453654-01,4,L,4,012,1
7122219-99,7,XXXL,7,012,9
1553692-38,48,48,8,012,0
1253329-14,5,XL,5,012,1
6793430-51,36,36,2,012,0
8551022-25,2,S,2,012,0
6833930-11,34,34,1,012,0
6792339-20,36,36,2,012,1
1253322-11,4,L,4,012,3
1253321-17,4,L,4,012,0
0243370-11,6,XXL,6,012,2
7953562-11,36,36,2,012,1
0439770-46,44,44,6,012,0
0223713-46,4,L,4,012,3
0943162-13,5,XL,5,012,2
0092886-97,4,L,4,012,1
2839407-11,2,S,2,012,1
7953536-29,38,38,3,012,0
6793435-51,42,42,5,012,0
1439839-13,3,M,3,012,2
1553693-46,50,50,9,012,0
0943164-14,4,L,4,012,0
7122220-46,6,XXL,6,012,3
7122219-27,5,XL,5,012,3
0263389-66,4,L,4,012,0
7122219-05,4,L,4,012,3
0439665-51,42,42,5,012,0
0013471-10,32,32,12,012,0
A2D8B-433,XXL,XXL,6,017,0
A2DFM-433,33,33,6,017,1
A2BPR-CL4,S,S,2,017,0
10061W,9.5,43.5,8,017,43
A41KC-A58,L,L,4,017,0
A2AJ1-P57,M,M,3,017,4
A2QGBM,8,41.5,5,017,0
V2GD08FL04P-G5P3,M,M,7,0311,0
W1GK1FWDW52-P9RH,M,M,7,0311,1
W2GD51K4JZ0-P82U,S,S,5,0311,1
O1BA15ZZ04S-PSPK,XS/S,XS/S,4,0311,1
FM7VRLLEA12-WHIB,44,44,10,0311,1
SWZG8500440-LGC,T/U,T/U,1,0311,0
W2GD44WEJV0-P61J,S,S,5,0311,0
1GG7206875Z-P1AJ,M,M,7,0311,0
5663643-70,5,XL,5,034,0
5543621-29,4,L,4,034,3
6483508-01,90B,90B,22,034,1
6483542-11,95B,95B,26,034,0
7913011-01,100C,100C,31,034,1
4276639-34,1,1,7,034,2
5523219-49,2,S,2,034,1
5543650-57,5,XL,5,034,0
6483512-23,85B,85B,18,034,1
4663511-70,4,L,4,034,0
4933597-02,2,S,2,034,1
0873887-96,2,S,2,034,1
4663515-70,2,S,2,034,0
4302095-01,4,4,11,034,0
4331621-34,3,M,3,034,0
4343346-28,5,XL,5,034,0
7683065-98,2,S,2,034,7
6483516-01,95B,95B,26,034,1
6463405-97,3,M,3,034,3
6483506-63,85B,85B,18,034,1
6483542-11,85B,85B,18,034,2
2173131-99,2,S,2,034,0
4276221-01,85,100,4,034,1
4331702-01,3,M,3,034,0
6469507-01,2,S,2,034,1
8697353501142,0,TU,1,035,27
8697353470165,0,TU,1,035,3
8697353467547,0,TU,1,035,8
8697353452017,0,TU,1,035,23
8697353535055,0,TU,1,035,11
8697353552182,0,TU,1,035,14
8697353508738,0,TU,1,035,1
8697353502071,0,TU,1,035,8
8697353409554,0,TU,1,035,3
8697353493874,0,TU,1,035,7
8697353319457,0,TU,1,035,31
8697353514517,0,TU,1,035,3
8697353502019,0,TU,1,035,16
8697353423703,0,TU,1,035,122
8697353445071,0,TU,1,035,24
8697353539367,0,TU,1,035,13
8697353506765,0,TU,1,035,9
8697353383700,0,TU,1,035,3
8697353339356,0,TU,1,035,4
8697353494130,0,TU,1,035,29
8697353200809,0,TU,1,035,7
8697353260056,0,TU,1,035,2
8697353374135,0,TU,1,035,33
8697353543500,0,TU,1,035,9
8697353478956,0,TU,1,035,9
8697353507915,0,TU,1,035,19
8697353502057,0,TU,1,035,11
8697353423642,0,TU,1,035,28
8697353513510,0,TU,1,035,5
8697353506673,0,TU,1,035,10
8697353467271,0,TU,1,035,25
2227083003744,0,TU,1,035,76
8697353469831,0,TU,1,035,3
8697353445088,0,TU,1,035,27
8697353470189,0,TU,1,035,2
8697353450242,0,TU,1,035,5
8697353548949,0,TU,1,035,3
8697353502040,0,TU,1,035,10
8697353520211,0,TU,1,035,11
D02HNA00022-6738,37,37,4,039,2
U029FB00022-4002,45,45,9,039,0
U047FD0007T-2MF4,40,40,1,039,1
D15PAD022RY-6001,39,39,8,039,0
U15BYA0006K-7000,42,42,4,039,0
U25ELA0EK14-6009,41,41,2,039,0
U16CPA014EK-F42Q,43,43,6,039,0
D154RC08554-0866,38,38,6,039,0
U25DWA000NB-4002,44,44,8,039,0
BEBOXR-250,XL,XL,5,040,0
BOSLIM6-2,34-48,W48 L34 ,21,040,7
TOHENRI-957,34-44,W44 L34 ,19,040,0
TEONE-956,L,L,4,040,2
ROSLACK2BM-250,40,40,4,040,1
BOSKIN4-103,34-42,W42 L34 ,18,040,7
TOREMUS-2,34-42,W42 L34 ,18,040,3
BULOCK-506,S,S,2,040,3
TOCHARLES-2,34-46,W46 L34 ,20,040,7
MASANTAL1-1703,XL,XL,5,040,4
RECEONE1-700,XXL,XXL,6,040,2
50450009-413,43,43,5,0413,1
50470332-033,40,40,2,0413,1
50473786-461,L,L,3,0413,3
50459740-430,3332,33/32,3,0413,0
50468754-405,ONESI,ONESI,3,0413,1
50481138-001,M,M,2,0413,0
50467988-199,44,44,6,0413,0
50477874-100,39-42,39-42,1,0413,2
50467344-683,S,S,1,0413,0
50474421-001,L,L,3,0413,1
